First Name,Last Name,Class
Peter,Parker,Class 1A
Tony,Stark,Class 1B
Bruce,Banner,Class 1A
Steve,Rogers,Class 6A
Natasha,Romanoff,Class 6A
Clint,Barton,Class 6A
Thor,Odinson,Class 6B
Wanda,Maximoff,Class 4B
Vision,Maximoff,Class 6A
Sam,Wilson,Class 4A
Bucky,Barnes,Class 2A
Carol,Danvers,Class 3A
Doctor,Strange,Class 6A
Wong,Konamura,Class 6B
Scott,Lang,Class 6A
Hope,Pym,Class 5A
Black,Panther,Class 2A
Miles,Morales,Class 2B
Gwen,Stacy,Class 2B
Mary,Jane,Class 5B
Otto,Octavius,Class 6B
Norman,Osborn,Class 6A
Lex,Luthor,Class 2A
Clark,Kent,Class 4B
Diana,Prince,Class 6B
Arthur,Curry,Class 2A
Barry,Allen,Class 1B
Iris,West,Class 5A
Oliver,Queen,Class 5B
Felicity,Smoak,Class 6A
Matt,Murdock,Class 6A
Karen,Page,Class 6A
Jessica,Jones,Class 4A
Luke,Cage,Class 3A
Danny,Rand,Class 1B
Harley,Quinn,Class 5B
Joker,Smith,Class 2A
Two-Face,Harvey,Class 6A
Scarecrow,Crane,Class 4B
Poison,Ivy,Class 6A
Catwoman,Kyle,Class 6A
Green,Goblin,Class 4A
Venom,Brock
Carnage,Kasady,Class 6B
Doctor,Octopus,Class 5B
Sandman,Marko,Class 3A
Electro,Dillon,Class 1B
Mysterio,Beck,Class 3A
Kingpin,Fisk,Class 2A
Daredevil,Murdock,Class 2B
Hulk,Banner,Class 1B
Black,Widow,Class 6B
Iron,Man,Class 5A
Captain,America,Class 5A
Thor,Odinson,Class 6A
Loki,Laufeyson,Class 4B
Thanos,Mad,Class 1A
Ronan,Accuser,Class 1A
Nebula,Unknown,Class 2B
Gamora,Zen,Class 6B
Star-Lord,Quill,Class 6A
Rocket,Raccoon,Class 5B
Groot,Tree,Class 1A
Drax,Destroyer,Class 2B
Black,Bolt,Class 3B
Storm,Munroe,Class 4B
Wolverine,Logan,Class 4A
Professor,Xavier,Class 6B
Cyclops,Summers,Class 6B
Jean,Grey,Class 2A
Beast,McCoy,Class 4A
Angel,Worthington,Class 4A
Iceman,Drake,Class 1B
Sentinels,Robot,Class 2A
Magneto,Lehnsherr,Class 2B
Mystique,Raven,Class 4B
Sabretooth,Creed,Class 2A
Apocalypse,Ancient,Class 5B
Sentinel,Trask,Class 2A
Mister,Sinister,Class 6A
Emma,Frost,Class 5B
Rogue,Gambit,Class 2B
Jubilee,Lee,Class 1B
Iceman,Bobby,Class 1B
Nightcrawler,Wagner,Class 5B
Colossus,Rasputin,Class 5B
Shadowcat,Pryde,Class 1B
Archangel,Worthington
Deadpool,Wilson,Class 3A
Cable,Summers,Class 1A
Domino,Neena,Class 5A
Psylocke,Braddock,Class 6B
Silver,Surfer,Class 1B
Galactus,Devourer,Class 2B
Surtur,Fire,Class 2A
Mephisto,Demon,Class 1A
Hellstorm,Daimon,Class 5B
Doctor,Doom,Class 2B
Kang,Conqueror,Class 5A
Red,Skull,Class 6A
Ultron,Robot
Hydra,Agent
